"2025-11-12","サンケトペーパー","1"
"2025-11-12","スーパーキャス","0"
"2025-11-12","18G×1/2注射針","6"
"2025-11-12","21G×5/8注射針","6"
"2025-11-12","連結管","1"
"2025-11-12","アトニン","20"
"2025-11-12","アニビタン","7"
"2025-11-12","異常産ワクチン","7"
"2025-11-12","イベルメックPO","0"
"2025-11-12","ウルソ散","16"
"2025-11-12","ウルソ注","3"
"2025-11-12","セフチオフルNa注","21"
"2025-11-12","エストラジオール","0"
"2025-11-12","OTC","0"
"2025-11-12","クロプロ-C(PG)","16"
"2025-11-12","結ペニ","45"
"2025-11-12","ゴナトロピン","0"
"2025-11-12","シダー","70"
"2025-11-12","スタートバック","15"
"2025-11-12","スペクトラゾール","0"
"2025-11-12","スポルネン","72"
"2025-11-12","セファゾリン注","67"
"2025-11-12","セファメジン","137"
"2025-11-12","セロトロピン","0"
"2025-11-12","タイロシン","5"
"2025-11-12","デキサメサゾン","17"
"2025-11-12","テルペラン","46"
"2025-11-12","ドライオフ","14"
"2025-11-12","トルラミン","0"
"2025-11-12","ネオアスP","2"
"2025-11-12","ネオニューリン注","13"
"2025-11-12","ネオポリシダール","27"
"2025-11-12","ニューサルマイ","75"
"2025-11-12","パーネット","0"
"2025-11-12","バイトリル10%","14"
"2025-11-12","バソラミン","3"
"2025-11-12","パドリニウム注","1"
"2025-11-12","パンカル","6"
"2025-11-12","ビオペア","0"
"2025-11-12","ビクタス","4"
"2025-11-12","ビタミンK1注","0"
"2025-11-12","フルニキシン10%","10"
"2025-11-12","プロカインペニシリンG","11"
"2025-11-12","プロナルゴン(PG)","0"
"2025-11-12","ベサネコール","0"
"2025-11-12","ホスミシン","107"
"2025-11-12","ボラボミン(ボルタレン)","40"
"2025-11-12","メガビット","5"
"2025-11-12","リハビロン","0"
"2025-11-12","ルテウムデポー","19"
"2025-11-12","レバチオニン","8"
"2025-11-12","D3-1000","3"
"2025-11-12","セフロキシムL","114"
"2025-11-12","消エタ","12"
"2025-11-12","シリンジ2.5ml","10"
"2025-11-12","シリンジ5ml","17"
"2025-11-12","シリンジ20ml","15"
"2025-11-12","シリンジ50ml","15"
"2025-11-12","シロマジン","0"
"2025-11-12","バイパック","0"
"2025-11-12","ペルメトリン乳剤","0"
"2025-11-12","補液セット","6"
"2025-11-12","直検手袋","8"
"2025-11-12","PLテスター","15"
"2025-11-12","ゴム手袋S","56"
"2025-11-12","ゴム手袋M","49"
"2025-11-12","キシリット500mL","30"
"2025-11-12","キシリット1000mL","0"
"2025-11-12","高張","44"
"2025-11-12","酢酸リンゲル","41"
"2025-11-12","7%重曹","23"
"2025-11-12","生食","43"
"2025-11-12","ブドウ糖25% 1000mL","0"
"2025-11-12","ブドウ糖40% 500mL","48"
"2025-11-12","ボロカール","75"
"2025-11-12","オーラック(殺菌剤)","33"
"2025-11-12","サニタリーA(酸)","23"
"2025-11-12","サニタリーD(アルカリ)","8"
"2025-11-12","セラテック","15"
"2025-11-12","ブロックエイド","4"
"2025-11-12","カルスイート","1"
"2025-11-12","クラーゲンネオ","6"
"2025-11-12","炭酸カルシウム","0"
"2025-11-12","パームファット","0"
"2025-11-12","酸化マグネシウム","0"
"2025-11-12","マグナパックプラス","0"
"2025-11-12","MVミックス","0"
"2025-11-12","アジプロ","0"
"2025-11-12","トルラプラス","0"
"2025-11-12","メプロン","0"
"2025-11-12","重曹","0"
"2025-11-12","ビスタセル","0"
"2025-11-12","医療廃棄Box","0"
"2025-11-12","シース管","150"
